Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Draymond Green\greendr01,40:44,3,7,.429,0,2,.000,2,2,1.000,1,9,10,6,1,1,1,5,8,-12
Klay Thompson\thompkl01,38:05,9,21,.429,3,10,.300,4,7,.571,2,1,3,1,2,1,4,2,25,-22
Stephen Curry\curryst01,35:14,8,20,.400,6,13,.462,8,9,.889,0,2,2,1,1,0,4,6,30,-10
Andre Iguodala\iguodan01,30:19,2,5,.400,1,3,.333,0,2,.000,2,2,4,3,0,0,1,2,5,-25
Harrison Barnes\barneha02,16:26,0,8,.000,0,5,.000,0,0,,0,2,2,0,0,1,0,2,0,-20
Shaun Livingston\livinsh01,21:26,1,6,.167,0,0,,1,2,.500,0,4,4,3,0,0,1,3,3,-10
Leandro Barbosa\barbole01,18:42,4,6,.667,2,3,.667,4,5,.800,1,1,2,2,0,0,1,0,14,+7
Festus Ezeli\ezelife01,14:42,2,5,.400,0,0,,0,0,,3,1,4,1,0,0,1,3,4,-17
Brandon Rush\rushbr01,8:28,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,+18
Anderson Varejao\varejan01,6:49,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,2,0,+8
Ian Clark\clarkia01,3:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+3
James Michael McAdoo\mcadoja01,3:23,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+3
Marreese Speights\speigma01,2:19,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,6,+7
Team Totals,240,33,82,.402,15,39,.385,20,29,.690,9,26,35,19,5,3,14,25,101,
