Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1996-11-01,@,BOS,W,107,98,42,74,.568,1,13,.077,22,32,.688,8,37,28,7,8,19,23,,38,84,.452,8,20,.400,14,23,.609,14,36,20,10,2,18,33
2,2,1996-11-02,,PHI,W,115,86,44,93,.473,10,24,.417,17,20,.850,14,48,29,13,3,16,20,,34,89,.382,6,13,.462,12,22,.545,16,47,18,9,5,22,20
3,3,1996-11-05,,VAN,W,96,73,37,86,.430,7,20,.350,15,20,.750,21,56,26,10,8,19,18,,29,81,.358,8,18,.444,7,15,.467,15,37,16,7,4,20,19
4,4,1996-11-06,@,MIA,W,106,100,38,88,.432,6,19,.316,24,32,.750,19,49,20,9,3,11,19,,38,81,.469,4,24,.167,20,27,.741,13,44,13,4,6,13,27
5,5,1996-11-08,@,DET,W,98,80,36,73,.493,9,24,.375,17,21,.810,12,46,25,8,2,10,17,,32,75,.427,8,15,.533,8,14,.571,10,33,9,1,2,14,18
6,6,1996-11-09,,BOS,W,104,92,43,90,.478,3,14,.214,15,25,.600,13,41,28,10,4,15,21,,34,78,.436,5,17,.294,19,26,.731,14,46,14,9,2,26,24
7,7,1996-11-11,,PHO,W,97,79,39,90,.433,7,24,.292,12,17,.706,15,48,28,8,3,11,19,,29,74,.392,3,13,.231,18,27,.667,11,46,17,5,2,17,19
8,8,1996-11-13,,MIA,W,103,71,36,80,.450,3,7,.429,28,36,.778,10,48,25,6,3,7,21,,27,75,.360,3,16,.188,14,24,.583,7,39,14,2,3,15,32
9,9,1996-11-15,@,CHH,W,110,87,46,83,.554,7,16,.438,11,14,.786,14,45,29,9,3,20,16,,34,89,.382,7,22,.318,12,15,.800,13,35,27,7,4,14,19
10,10,1996-11-16,,ATL,W,97,69,41,81,.506,7,17,.412,8,10,.800,9,44,34,2,4,10,20,,26,80,.325,3,13,.231,14,21,.667,15,40,9,6,3,12,17
11,11,1996-11-20,@,PHO,W,113,99,45,92,.489,9,20,.450,14,22,.636,16,49,28,8,9,17,25,,40,93,.430,5,16,.313,14,21,.667,15,46,21,10,0,16,29
12,12,1996-11-21,@,DEN,W,110,92,40,81,.494,2,11,.182,28,47,.596,15,46,21,8,6,14,25,,30,87,.345,6,20,.300,26,32,.813,16,48,20,11,5,16,34
13,13,1996-11-23,@,UTA,L,100,105,37,82,.451,8,24,.333,18,21,.857,11,41,17,4,3,11,23,,39,74,.527,6,11,.545,21,28,.750,7,38,25,7,4,9,24
14,14,1996-11-25,@,LAC,W,88,84,29,76,.382,3,12,.250,27,35,.771,14,45,14,6,6,13,16,,32,76,.421,6,13,.462,14,20,.700,11,41,16,8,6,14,26
15,15,1996-11-29,@,DAL,W,116,97,45,90,.500,8,14,.571,18,23,.783,19,55,28,5,2,16,20,,37,88,.420,1,13,.077,22,30,.733,17,42,29,10,3,12,22
16,16,1996-11-30,@,SAS,W,97,88,38,85,.447,7,13,.538,14,20,.700,11,41,29,8,4,10,17,,33,82,.402,5,20,.250,17,19,.895,14,45,15,6,3,16,20
17,17,1996-12-03,@,MIL,W,107,104,41,81,.506,4,6,.667,21,29,.724,11,30,27,10,1,13,28,,35,72,.486,5,13,.385,29,37,.784,15,40,20,9,2,22,22
18,18,1996-12-05,,LAC,W,114,96,52,95,.547,3,9,.333,7,10,.700,15,43,40,10,1,10,16,,38,83,.458,7,20,.350,13,14,.929,16,40,17,8,4,18,13
19,19,1996-12-07,,MIA,L,80,83,33,79,.418,5,15,.333,9,11,.818,15,44,17,3,3,10,19,,29,79,.367,7,21,.333,18,23,.783,17,45,12,5,2,8,19
20,20,1996-12-08,@,TOR,L,89,97,37,88,.420,10,24,.417,5,9,.556,10,38,27,8,7,12,22,,38,86,.442,6,19,.316,15,25,.600,17,52,21,7,3,14,13
21,21,1996-12-11,,MIN,W,103,86,40,79,.506,5,12,.417,18,23,.783,12,40,29,11,3,14,18,,38,82,.463,2,11,.182,8,13,.615,16,41,27,9,2,18,23
22,22,1996-12-13,@,NJN,W,113,92,40,81,.494,9,22,.409,24,33,.727,11,49,25,13,3,19,19,,34,89,.382,4,17,.235,20,24,.833,15,42,14,12,4,19,21
23,23,1996-12-14,,CHH,W,87,82,32,90,.356,6,21,.286,17,23,.739,19,49,22,10,6,10,17,,33,72,.458,4,13,.308,12,16,.750,9,44,24,5,2,22,19
24,24,1996-12-17,,LAL,W,129,123,45,101,.446,11,23,.478,28,36,.778,24,56,27,11,4,12,25,,48,95,.505,7,20,.350,20,35,.571,16,49,17,7,4,15,27
25,25,1996-12-19,@,CHH,W,93,72,38,90,.422,7,20,.350,10,12,.833,21,51,16,8,6,9,18,,29,80,.363,5,16,.313,9,11,.818,16,38,21,6,6,14,18
26,26,1996-12-21,@,PHI,W,111,105,43,91,.473,9,21,.429,16,20,.800,14,38,24,13,5,12,23,,39,80,.488,5,16,.313,22,27,.815,13,39,20,9,6,22,20
27,27,1996-12-23,,NJN,W,113,81,44,90,.489,8,18,.444,17,20,.850,15,49,21,11,4,11,13,,34,78,.436,7,16,.438,6,10,.600,5,35,27,10,6,19,20
28,28,1996-12-25,,DET,W,95,83,38,88,.432,8,26,.308,11,19,.579,24,51,30,10,2,11,17,,34,77,.442,3,18,.167,12,20,.600,12,37,11,3,1,13,17
29,29,1996-12-26,@,ATL,L,103,108,39,85,.459,6,19,.316,19,25,.760,17,41,19,7,5,11,28,,34,81,.420,6,22,.273,34,38,.895,19,46,12,8,1,11,21
30,30,1996-12-28,,CLE,W,102,97,34,65,.523,7,14,.500,27,37,.730,12,39,20,8,1,16,24,,34,74,.459,11,26,.423,18,21,.857,11,33,22,8,2,15,25
31,31,1996-12-30,,IND,W,81,79,29,86,.337,6,22,.273,17,25,.680,19,54,18,6,2,10,18,,32,82,.390,7,20,.350,8,14,.571,12,48,18,4,3,11,26
32,32,1997-01-03,,ORL,W,110,89,44,82,.537,3,11,.273,19,25,.760,19,52,30,9,3,12,15,,37,86,.430,6,18,.333,9,14,.643,12,29,19,7,1,10,21
33,33,1997-01-06,,UTA,W,102,89,40,87,.460,10,27,.370,12,18,.667,18,45,25,9,3,8,19,,35,79,.443,2,13,.154,17,20,.850,13,41,21,4,3,13,21
34,34,1997-01-10,@,MIL,W,116,101,47,93,.505,4,14,.286,18,27,.667,21,45,25,13,1,8,21,,38,68,.559,4,13,.308,21,27,.778,7,33,16,2,1,17,23
35,35,1997-01-11,,HOU,W,110,86,45,92,.489,11,22,.500,9,14,.643,14,53,29,7,5,8,20,,28,75,.373,5,18,.278,25,29,.862,6,35,20,6,4,12,15
36,36,1997-01-14,,WSB,W,108,107,38,88,.432,8,20,.400,24,28,.857,19,40,23,11,1,10,19,,43,75,.573,5,12,.417,16,18,.889,8,34,22,6,2,15,24
37,37,1997-01-15,@,MIN,W,112,102,48,93,.516,6,16,.375,10,15,.667,18,47,32,4,5,9,14,,41,84,.488,8,19,.421,12,17,.706,13,40,21,5,9,10,17
38,38,1997-01-17,,MIL,W,100,73,44,79,.557,4,13,.308,8,11,.727,8,38,33,14,6,11,17,,30,74,.405,2,15,.133,11,17,.647,11,34,9,5,2,19,14
39,39,1997-01-19,@,HOU,L,86,102,33,91,.363,4,23,.174,16,18,.889,19,50,21,7,5,12,18,,43,86,.500,10,19,.526,6,12,.500,11,45,33,7,5,12,18
40,40,1997-01-21,,NYK,W,88,87,34,76,.447,8,25,.320,12,16,.750,12,42,23,11,1,19,9,,38,94,.404,6,19,.316,5,7,.714,21,44,17,12,5,16,15
41,41,1997-01-23,@,CLE,W,87,71,30,71,.423,4,13,.308,23,26,.885,19,49,21,5,1,22,17,,27,70,.386,5,19,.263,12,13,.923,8,28,19,13,6,17,24
42,42,1997-01-25,,TOR,W,110,98,47,84,.560,7,13,.538,9,12,.750,5,28,36,11,1,12,17,,37,82,.451,7,21,.333,17,22,.773,16,47,17,9,3,24,15
43,43,1997-01-28,@,VAN,W,111,96,46,83,.554,2,8,.250,17,23,.739,15,39,30,17,2,20,12,,44,89,.494,4,13,.308,4,9,.444,20,43,32,14,3,25,18
44,44,1997-01-30,@,SAC,W,111,93,42,81,.519,5,19,.263,22,28,.786,10,39,24,10,5,12,20,,41,85,.482,4,15,.267,7,14,.500,15,41,29,6,3,14,20
45,45,1997-01-31,@,GSW,W,115,92,48,90,.533,7,18,.389,12,15,.800,16,46,27,13,2,13,21,,38,82,.463,7,20,.350,9,14,.643,15,40,24,6,1,20,14
46,46,1997-02-02,@,SEA,W,91,84,35,73,.479,5,15,.333,16,19,.842,9,34,23,9,3,13,29,,25,69,.362,6,22,.273,28,32,.875,13,37,15,9,5,17,22
47,47,1997-02-04,@,POR,W,88,84,32,75,.427,3,12,.250,21,29,.724,11,33,18,5,6,7,20,,31,72,.431,5,14,.357,17,26,.654,14,39,13,4,2,15,28
48,48,1997-02-05,@,LAL,L,90,106,35,81,.432,8,19,.421,12,18,.667,10,33,30,4,7,12,21,,41,89,.461,6,21,.286,18,21,.857,15,50,24,9,9,10,17
49,49,1997-02-11,,CHH,W,103,100,41,82,.500,5,15,.333,16,21,.762,16,43,26,9,2,14,21,,38,77,.494,7,17,.412,17,18,.944,6,28,22,8,2,15,20
50,50,1997-02-14,@,ATL,W,89,88,37,82,.451,6,18,.333,9,17,.529,14,45,15,7,4,16,14,,35,81,.432,9,27,.333,9,11,.818,12,42,15,7,8,12,18
51,51,1997-02-16,,ORL,W,110,89,45,90,.500,8,20,.400,12,15,.800,21,53,36,12,7,15,20,,31,73,.425,9,21,.429,18,27,.667,11,30,14,9,5,16,16
52,52,1997-02-18,,DEN,W,134,123,53,98,.541,10,21,.476,18,23,.783,20,41,42,11,2,7,22,,44,76,.579,8,16,.500,27,33,.818,12,36,28,5,1,15,21
53,53,1997-02-21,@,WSB,W,103,99,39,74,.527,8,13,.615,17,25,.680,11,39,21,8,1,15,19,,41,78,.526,0,7,.000,17,26,.654,10,36,16,5,2,13,25
54,54,1997-02-22,,GSW,W,120,87,42,85,.494,11,26,.423,25,32,.781,16,54,32,15,1,16,18,,36,96,.375,6,20,.300,9,13,.692,20,45,18,7,1,20,22
55,55,1997-02-24,,POR,W,116,89,46,99,.465,8,17,.471,16,17,.941,28,60,33,9,3,14,16,,35,82,.427,4,21,.190,15,22,.682,16,40,22,11,2,15,19
56,56,1997-02-27,@,CLE,L,70,73,25,76,.329,1,14,.071,19,24,.792,17,48,12,6,3,11,15,,29,67,.433,5,15,.333,10,13,.769,9,36,19,6,4,13,21
