Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tristan Thompson\thomptr01,42:38,6,6,1.000,0,0,,3,4,.750,2,14,16,3,0,0,3,4,15,+32
LeBron James\jamesle01,42:35,16,27,.593,3,6,.500,6,8,.750,2,6,8,11,4,3,1,3,41,+26
J.R. Smith\smithjr01,40:22,5,11,.455,4,10,.400,0,0,,0,4,4,3,3,1,0,5,14,+20
Kyrie Irving\irvinky01,39:14,7,18,.389,2,5,.400,7,7,1.000,1,3,4,3,2,2,3,2,23,+25
Kevin Love\loveke01,11:55,1,3,.333,1,2,.500,4,6,.667,1,2,3,2,0,0,1,3,7,-6
Richard Jefferson\jefferi01,31:52,1,3,.333,0,1,.000,1,2,.500,2,4,6,1,2,0,1,3,3,+15
Iman Shumpert\shumpim01,14:10,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,4,0,-13
Mo Williams\willima01,5:40,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,-2
Dahntay Jones\jonesda02,4:37,1,1,1.000,0,0,,3,3,1.000,0,1,1,0,0,1,0,0,5,-6
Matthew Dellavedova\dellama01,2:19,1,2,.500,0,0,,1,2,.500,0,0,0,1,0,0,0,0,3,-7
Timofey Mozgov\mozgoti01,2:19,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-7
James Jones\jonesja02,2:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-7
Channing Frye\fryech01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,77,.519,10,27,.370,25,32,.781,8,37,45,24,12,7,10,25,115,
