Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Draymond Green\greendr01,46:54,11,15,.733,6,8,.750,4,4,1.000,1,14,15,9,2,0,2,3,32,-1
Klay Thompson\thompkl01,42:17,6,17,.353,2,10,.200,0,0,,1,1,2,2,1,0,3,2,14,-11
Stephen Curry\curryst01,39:16,6,19,.316,4,14,.286,1,1,1.000,0,5,5,2,1,1,4,4,17,-3
Harrison Barnes\barneha02,29:24,3,10,.300,2,4,.500,2,2,1.000,0,2,2,1,1,0,0,4,10,-6
Festus Ezeli\ezelife01,10:45,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-9
Andre Iguodala\iguodan01,37:53,2,6,.333,0,3,.000,0,2,.000,2,7,9,4,2,2,0,3,4,+3
Shaun Livingston\livinsh01,16:04,3,7,.429,0,0,,2,2,1.000,1,0,1,2,0,0,1,1,8,+8
Anderson Varejao\varejan01,8:29,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,3,1,-9
Marreese Speights\speigma01,4:34,0,2,.000,0,1,.000,0,0,,2,2,4,0,0,2,0,0,0,+3
Leandro Barbosa\barbole01,4:24,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+5
Team Totals,240,32,83,.386,15,41,.366,10,13,.769,7,32,39,22,7,5,10,23,89,
