Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andre Iguodala\iguodan01,41:02,6,13,.462,1,4,.250,2,2,1.000,4,7,11,6,2,0,3,0,15,-13
Klay Thompson\thompkl01,40:31,11,20,.550,6,11,.545,9,9,1.000,0,3,3,1,0,0,1,2,37,-21
Stephen Curry\curryst01,40:07,8,21,.381,5,15,.333,4,4,1.000,2,5,7,4,0,3,4,2,25,-6
Harrison Barnes\barneha02,37:54,2,14,.143,1,6,.167,0,2,.000,1,4,5,1,1,1,0,1,5,-6
Andrew Bogut\bogutan01,7:35,0,0,,0,0,,0,0,,1,2,3,0,0,3,2,4,0,-6
Shaun Livingston\livinsh01,21:13,3,7,.429,0,1,.000,1,1,1.000,1,3,4,3,1,0,3,1,7,-16
Marreese Speights\speigma01,11:20,0,6,.000,0,3,.000,0,0,,1,2,3,2,1,0,2,2,0,+1
Leandro Barbosa\barbole01,9:53,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,2,3,3,-5
Festus Ezeli\ezelife01,9:31,1,3,.333,0,0,,0,0,,2,1,3,0,0,1,0,2,2,+4
Anderson Varejao\varejan01,8:36,0,0,,0,0,,3,8,.375,1,0,1,1,0,0,0,0,3,+5
James Michael McAdoo\mcadoja01,7:37,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,3,0,-10
Brandon Rush\rushbr01,4:41,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,1,0,1,0,-2
Draymond Green\greendr01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Team Totals,240,32,88,.364,14,43,.326,19,26,.731,13,30,43,18,6,9,17,21,97,
