Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,40:53,9,21,.429,2,4,.500,3,4,.750,4,8,12,9,2,1,4,2,23,-9
Kyrie Irving\irvinky01,37:39,7,22,.318,1,4,.250,11,12,.917,1,2,3,4,3,0,3,2,26,-9
Kevin Love\loveke01,37:21,7,17,.412,2,5,.400,1,1,1.000,2,11,13,2,1,0,4,2,17,-8
J.R. Smith\smithjr01,36:16,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,1,1,5,3,-13
Tristan Thompson\thomptr01,31:00,5,11,.455,0,0,,0,0,,6,6,12,0,0,1,0,3,10,-4
Iman Shumpert\shumpim01,16:47,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,3,-15
Richard Jefferson\jefferi01,12:24,1,3,.333,0,1,.000,1,1,1.000,2,0,2,0,0,0,0,0,3,-10
Matthew Dellavedova\dellama01,10:54,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,-19
Channing Frye\fryech01,7:10,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,+4
James Jones\jonesja02,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Mo Williams\willima01,2:24,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,+2
Dahntay Jones\jonesda02,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Timofey Mozgov\mozgoti01,2:24,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,+2
Team Totals,240,32,84,.381,7,21,.333,18,20,.900,15,32,47,17,7,4,15,17,89,
