Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,45:34,11,21,.524,1,5,.200,2,4,.500,4,9,13,9,2,3,7,4,25,-12
J.R. Smith\smithjr01,43:24,3,10,.300,2,8,.250,2,2,1.000,0,2,2,1,0,0,0,5,10,-11
Kyrie Irving\irvinky01,43:22,14,28,.500,2,6,.333,4,5,.800,1,3,4,4,3,1,1,2,34,-11
Tristan Thompson\thomptr01,28:34,5,7,.714,0,0,,0,5,.000,6,1,7,0,0,1,0,3,10,-9
Richard Jefferson\jefferi01,24:53,1,2,.500,0,0,,1,2,.500,2,4,6,0,0,0,2,6,3,-5
Kevin Love\loveke01,25:00,3,6,.500,1,2,.500,4,6,.667,1,4,5,0,0,1,0,1,11,-4
Iman Shumpert\shumpim01,14:37,1,5,.200,0,3,.000,0,0,,1,0,1,0,0,0,1,0,2,-1
Channing Frye\fryech01,9:45,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-2
Matthew Dellavedova\dellama01,4:43,0,1,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,1,2,0
Dahntay Jones\jonesda02,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Mo Williams\willima01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Jones\jonesja02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Timofey Mozgov\mozgoti01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,81,.469,6,25,.240,15,26,.577,16,24,40,15,5,6,11,24,97,
