Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Draymond Green\greendr01,40:17,5,11,.455,2,6,.333,4,4,1.000,0,11,11,7,4,1,3,1,16,+17
Stephen Curry\curryst01,35:54,4,15,.267,3,8,.375,0,0,,1,4,5,6,0,0,5,2,11,-1
Harrison Barnes\barneha02,30:11,6,10,.600,0,2,.000,1,1,1.000,0,1,1,2,1,0,0,1,13,+7
Klay Thompson\thompkl01,24:23,4,12,.333,1,5,.200,0,1,.000,0,5,5,2,0,2,0,3,9,+5
Andrew Bogut\bogutan01,15:25,5,7,.714,0,0,,0,0,,2,1,3,2,0,0,0,2,10,-8
Andre Iguodala\iguodan01,35:52,5,9,.556,2,4,.500,0,0,,3,4,7,6,1,1,0,1,12,+21
Shaun Livingston\livinsh01,26:34,8,10,.800,0,0,,4,4,1.000,1,3,4,3,1,0,0,2,20,+20
Leandro Barbosa\barbole01,11:25,5,5,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,11,+14
Festus Ezeli\ezelife01,10:29,1,4,.250,0,0,,0,0,,1,2,3,0,1,0,0,1,2,+3
Anderson Varejao\varejan01,3:19,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,+4
Ian Clark\clarkia01,2:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Marreese Speights\speigma01,2:01,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2
Brandon Rush\rushbr01,1:32,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-2
Team Totals,240,43,87,.494,9,27,.333,9,10,.900,9,32,41,29,9,4,9,16,104,
