Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,40:04,14,26,.538,1,2,.500,3,5,.600,2,9,11,6,1,2,5,2,32,+24
J.R. Smith\smithjr01,37:59,7,13,.538,5,10,.500,1,2,.500,0,4,4,1,3,0,0,1,20,+33
Kyrie Irving\irvinky01,36:36,12,25,.480,3,7,.429,3,3,1.000,1,3,4,8,1,0,2,4,30,+24
Richard Jefferson\jefferi01,33:13,4,7,.571,1,3,.333,0,0,,3,5,8,2,2,0,1,3,9,+11
Tristan Thompson\thomptr01,31:01,5,6,.833,0,0,,4,5,.800,7,6,13,2,0,0,0,2,14,+21
Iman Shumpert\shumpim01,17:39,1,5,.200,1,2,.500,0,0,,2,3,5,1,0,0,2,3,3,+9
Channing Frye\fryech01,12:21,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,+4
Matthew Dellavedova\dellama01,7:39,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,2,-10
Timofey Mozgov\mozgoti01,6:37,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,2,4,2,+11
Mo Williams\willima01,4:38,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,3,+5
James Jones\jonesja02,4:38,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,0,1,+5
Dahntay Jones\jonesda02,4:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+5
Jordan McRae\mcraejo01,2:57,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+8
Team Totals,240,48,91,.527,12,25,.480,12,17,.706,17,35,52,23,8,3,13,25,120,
