Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,46:49,9,24,.375,1,5,.200,8,10,.800,1,10,11,11,2,3,5,1,27,+4
Kyrie Irving\irvinky01,43:00,10,23,.435,2,5,.400,4,4,1.000,3,3,6,1,1,1,2,3,26,+10
J.R. Smith\smithjr01,38:55,5,13,.385,2,8,.250,0,0,,0,4,4,2,1,0,2,3,12,+7
Tristan Thompson\thomptr01,31:49,3,3,1.000,0,0,,3,4,.750,0,3,3,0,0,2,0,4,9,+2
Kevin Love\loveke01,30:02,3,9,.333,0,3,.000,3,4,.750,4,10,14,3,2,0,1,2,9,+19
Richard Jefferson\jefferi01,25:30,1,4,.250,0,0,,0,0,,1,8,9,0,1,0,0,1,2,-8
Iman Shumpert\shumpim01,19:10,1,3,.333,1,3,.333,3,3,1.000,0,1,1,0,0,0,0,0,6,-9
Mo Williams\willima01,4:45,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-5
Team Totals,240,33,82,.402,6,25,.240,21,25,.840,9,39,48,17,7,6,11,15,93,
