Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,33:38,7,17,.412,1,5,.200,4,4,1.000,0,8,8,9,4,1,7,3,19,-20
J.R. Smith\smithjr01,33:24,2,6,.333,1,4,.250,0,2,.000,1,1,2,2,2,0,1,3,5,-21
Kyrie Irving\irvinky01,33:06,5,14,.357,0,3,.000,0,0,,1,2,3,1,3,0,3,1,10,-26
Kevin Love\loveke01,20:46,2,7,.286,1,4,.250,0,0,,0,3,3,0,1,0,1,0,5,-8
Tristan Thompson\thomptr01,19:13,3,8,.375,0,0,,2,2,1.000,3,2,5,0,1,0,0,4,8,-13
Richard Jefferson\jefferi01,26:01,4,6,.667,0,0,,4,6,.667,2,3,5,0,1,1,1,2,12,-14
Iman Shumpert\shumpim01,19:53,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3,-20
Matthew Dellavedova\dellama01,16:42,2,9,.222,1,2,.500,2,2,1.000,0,1,1,2,0,0,0,1,7,-14
Timofey Mozgov\mozgoti01,12:00,1,3,.333,0,0,,3,4,.750,2,1,3,0,1,0,2,3,5,-13
James Jones\jonesja02,8:37,0,0,,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-4
Mo Williams\willima01,8:11,0,3,.000,0,2,.000,0,0,,0,0,0,1,2,0,1,0,0,-6
Dahntay Jones\jonesda02,4:37,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,-3
Channing Frye\fryech01,3:52,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
Team Totals,240,28,79,.354,5,23,.217,16,24,.667,9,25,34,15,15,3,17,19,77,
